nohup: can't execute './tests1.sh': Exec format error
NetBenchWithContention_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151102
Send/Recv	2^1	0.000053	0.302283
Send/Recv	2^2	0.000053	0.604653
Send/Recv	2^3	0.000053	1.209428
Send/Recv	2^4	0.000053	2.419043
Send/Recv	2^5	0.000054	4.725002
Send/Recv	2^6	0.000059	8.725448
Send/Recv	2^7	0.000068	14.968290
Send/Recv	2^8	0.000104	19.758487
Send/Recv	2^9	0.000114	35.838022
Send/Recv	2^10	0.000184	44.628952
Send/Recv	2^11	0.000221	73.982590
Send/Recv	2^12	0.000378	86.757375
Send/Recv	2^13	0.000767	85.421755
Send/Recv	2^14	0.001337	98.002739
Send/Recv	2^15	0.002521	103.981351
Send/Recv	2^16	0.004849	108.133850
Send/Recv	2^17	0.009488	110.512334
Send/Recv	2^18	0.018776	111.690780
Send/Recv	2^19	0.037390	112.178145
Send/Recv	2^20	0.074594	112.456393
Send/Recv	2^21	0.148983	112.611311
Send/Recv	2^22	0.297739	112.697389
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151090
Send/Recv	2^1	0.000053	0.302273
Send/Recv	2^2	0.000053	0.604678
Send/Recv	2^3	0.000053	1.209298
Send/Recv	2^4	0.000053	2.418352
Send/Recv	2^5	0.000054	4.719667
Send/Recv	2^6	0.000059	8.729376
Send/Recv	2^7	0.000068	14.960669
Send/Recv	2^8	0.000100	20.493216
Send/Recv	2^9	0.000114	35.877892
Send/Recv	2^10	0.000183	44.665806
Send/Recv	2^11	0.000222	73.703515
Send/Recv	2^12	0.000379	86.415895
Send/Recv	2^13	0.000768	85.342056
Send/Recv	2^14	0.001337	98.006919
Send/Recv	2^15	0.002527	103.739435
Send/Recv	2^16	0.004848	108.142916
Send/Recv	2^17	0.009491	110.483188
Send/Recv	2^18	0.018788	111.619361
Send/Recv	2^19	0.037384	112.195707
Send/Recv	2^20	0.074585	112.470729
Send/Recv	2^21	0.149003	112.596136
Send/Recv	2^22	0.297752	112.692530
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151087
Send/Recv	2^1	0.000053	0.302288
Send/Recv	2^2	0.000053	0.604527
Send/Recv	2^3	0.000053	1.209386
Send/Recv	2^4	0.000053	2.417985
Send/Recv	2^5	0.000054	4.718835
Send/Recv	2^6	0.000059	8.747118
Send/Recv	2^7	0.000068	14.981665
Send/Recv	2^8	0.000105	19.548419
Send/Recv	2^9	0.000114	35.856849
Send/Recv	2^10	0.000184	44.595309
Send/Recv	2^11	0.000222	73.801801
Send/Recv	2^12	0.000390	84.067288
Send/Recv	2^13	0.000767	85.440911
Send/Recv	2^14	0.001329	98.647801
Send/Recv	2^15	0.002521	104.001048
Send/Recv	2^16	0.004848	108.140853
Send/Recv	2^17	0.009490	110.498097
Send/Recv	2^18	0.018802	111.540659
Send/Recv	2^19	0.037589	111.583974
Send/Recv	2^20	0.074830	112.102502
Send/Recv	2^21	0.148966	112.624171
Send/Recv	2^22	0.297744	112.695681
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151123
Send/Recv	2^1	0.000053	0.302249
Send/Recv	2^2	0.000053	0.604597
Send/Recv	2^3	0.000053	1.209464
Send/Recv	2^4	0.000053	2.417929
Send/Recv	2^5	0.000054	4.723930
Send/Recv	2^6	0.000059	8.744912
Send/Recv	2^7	0.000068	14.982307
Send/Recv	2^8	0.000098	20.800677
Send/Recv	2^9	0.000114	35.875386
Send/Recv	2^10	0.000183	44.655347
Send/Recv	2^11	0.000223	73.601237
Send/Recv	2^12	0.000379	86.567944
Send/Recv	2^13	0.000767	85.455949
Send/Recv	2^14	0.001329	98.629801
Send/Recv	2^15	0.002523	103.900983
Send/Recv	2^16	0.004844	108.241869
Send/Recv	2^17	0.009488	110.517971
Send/Recv	2^18	0.018772	111.717037
Send/Recv	2^19	0.037399	112.148685
Send/Recv	2^20	0.074613	112.427992
Send/Recv	2^21	0.148976	112.616677
Send/Recv	2^22	0.297744	112.695685
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151049
Send/Recv	2^1	0.000053	0.302231
Send/Recv	2^2	0.000053	0.604530
Send/Recv	2^3	0.000053	1.209362
Send/Recv	2^4	0.000053	2.418568
Send/Recv	2^5	0.000054	4.735684
Send/Recv	2^6	0.000058	8.756078
Send/Recv	2^7	0.000068	15.026167
Send/Recv	2^8	0.000103	19.873012
Send/Recv	2^9	0.000105	39.049317
Send/Recv	2^10	0.000183	44.644765
Send/Recv	2^11	0.000222	73.674693
Send/Recv	2^12	0.000378	86.659174
Send/Recv	2^13	0.000768	85.385866
Send/Recv	2^14	0.001329	98.645312
Send/Recv	2^15	0.002527	103.746435
Send/Recv	2^16	0.004847	108.178340
Send/Recv	2^17	0.009489	110.508589
Send/Recv	2^18	0.018782	111.660434
Send/Recv	2^19	0.037383	112.198830
Send/Recv	2^20	0.074578	112.480669
Send/Recv	2^21	0.148970	112.621241
Send/Recv	2^22	0.297770	112.685770
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151107
Send/Recv	2^1	0.000053	0.302238
Send/Recv	2^2	0.000053	0.604511
Send/Recv	2^3	0.000053	1.209362
Send/Recv	2^4	0.000053	2.418499
Send/Recv	2^5	0.000054	4.720283
Send/Recv	2^6	0.000059	8.736719
Send/Recv	2^7	0.000068	14.978629
Send/Recv	2^8	0.000103	19.839868
Send/Recv	2^9	0.000115	35.695460
Send/Recv	2^10	0.000183	44.675547
Send/Recv	2^11	0.000222	73.881185
Send/Recv	2^12	0.000378	86.690588
Send/Recv	2^13	0.000757	86.559485
Send/Recv	2^14	0.001336	98.116267
Send/Recv	2^15	0.002527	103.730814
Send/Recv	2^16	0.004848	108.134385
Send/Recv	2^17	0.009490	110.488165
Send/Recv	2^18	0.018775	111.696676
Send/Recv	2^19	0.037380	112.205763
Send/Recv	2^20	0.074579	112.479231
Send/Recv	2^21	0.149002	112.597570
Send/Recv	2^22	0.297753	112.692056
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151037
Send/Recv	2^1	0.000053	0.302233
Send/Recv	2^2	0.000053	0.604634
Send/Recv	2^3	0.000053	1.209446
Send/Recv	2^4	0.000053	2.418549
Send/Recv	2^5	0.000054	4.729064
Send/Recv	2^6	0.000059	8.739473
Send/Recv	2^7	0.000069	14.940648
Send/Recv	2^8	0.000103	19.828214
Send/Recv	2^9	0.000114	35.850273
Send/Recv	2^10	0.000184	44.633934
Send/Recv	2^11	0.000221	73.992275
Send/Recv	2^12	0.000378	86.743713
Send/Recv	2^13	0.000767	85.439355
Send/Recv	2^14	0.001337	98.033928
Send/Recv	2^15	0.002527	103.742350
Send/Recv	2^16	0.004848	108.155466
Send/Recv	2^17	0.009485	110.545714
Send/Recv	2^18	0.018777	111.687212
Send/Recv	2^19	0.037388	112.183421
Send/Recv	2^20	0.074584	112.471824
Send/Recv	2^21	0.148963	112.626646
Send/Recv	2^22	0.297760	112.689641
