NetBenchWithContentionMpiSsend_O3_native_2b
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000093	0.085690
Send/Recv	2^1	0.000095	0.168199
Send/Recv	2^2	0.000094	0.339914
Send/Recv	2^3	0.000089	0.715572
Send/Recv	2^4	0.000095	1.347567
Send/Recv	2^5	0.000097	2.629674
Send/Recv	2^6	0.000096	5.308846
Send/Recv	2^7	0.000096	10.686298
Send/Recv	2^8	0.000098	20.844180
Send/Recv	2^9	0.000097	42.103517
Send/Recv	2^10	0.000153	53.394682
Send/Recv	2^11	0.000232	70.474879
Send/Recv	2^12	0.000368	89.137814
Send/Recv	2^13	0.000760	86.271194
Send/Recv	2^14	0.001336	98.091080
Send/Recv	2^15	0.002526	103.777133
Send/Recv	2^16	0.004846	108.185660
Send/Recv	2^17	0.009486	110.535756
Send/Recv	2^18	0.018775	111.699243
Send/Recv	2^19	0.037386	112.188032
Send/Recv	2^20	0.074575	112.485965
Send/Recv	2^21	0.148969	112.622302
Send/Recv	2^22	0.297751	112.692772
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000093	0.085765
Send/Recv	2^1	0.000089	0.180015
Send/Recv	2^2	0.000083	0.384281
Send/Recv	2^3	0.000090	0.710439
Send/Recv	2^4	0.000096	1.329903
Send/Recv	2^5	0.000097	2.630272
Send/Recv	2^6	0.000097	5.305637
Send/Recv	2^7	0.000091	11.272541
Send/Recv	2^8	0.000097	21.050071
Send/Recv	2^9	0.000097	42.160300
Send/Recv	2^10	0.000153	53.474677
Send/Recv	2^11	0.000233	70.337971
Send/Recv	2^12	0.000361	90.694958
Send/Recv	2^13	0.000767	85.472005
Send/Recv	2^14	0.001335	98.175578
Send/Recv	2^15	0.002527	103.747276
Send/Recv	2^16	0.004848	108.142081
Send/Recv	2^17	0.009490	110.490500
Send/Recv	2^18	0.018776	111.692755
Send/Recv	2^19	0.037393	112.166828
Send/Recv	2^20	0.074586	112.469066
Send/Recv	2^21	0.148991	112.605360
Send/Recv	2^22	0.297739	112.697603
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000092	0.087349
Send/Recv	2^1	0.000094	0.169751
Send/Recv	2^2	0.000090	0.356886
Send/Recv	2^3	0.000095	0.670795
Send/Recv	2^4	0.000096	1.339820
Send/Recv	2^5	0.000099	2.591923
Send/Recv	2^6	0.000097	5.302824
Send/Recv	2^7	0.000096	10.637098
Send/Recv	2^8	0.000098	20.869386
Send/Recv	2^9	0.000101	40.649024
Send/Recv	2^10	0.000154	53.164941
Send/Recv	2^11	0.000233	70.275822
Send/Recv	2^12	0.000361	90.739180
Send/Recv	2^13	0.000757	86.567884
Send/Recv	2^14	0.001324	98.979450
Send/Recv	2^15	0.002527	103.734364
Send/Recv	2^16	0.004849	108.132378
Send/Recv	2^17	0.009486	110.535016
Send/Recv	2^18	0.018776	111.696179
Send/Recv	2^19	0.037399	112.149128
Send/Recv	2^20	0.074592	112.460008
Send/Recv	2^21	0.149004	112.595744
Send/Recv	2^22	0.297738	112.697714
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000094	0.085337
Send/Recv	2^1	0.000095	0.168769
Send/Recv	2^2	0.000096	0.332617
Send/Recv	2^3	0.000093	0.691734
Send/Recv	2^4	0.000092	1.389500
Send/Recv	2^5	0.000097	2.633141
Send/Recv	2^6	0.000097	5.298668
Send/Recv	2^7	0.000096	10.651094
Send/Recv	2^8	0.000097	21.041888
Send/Recv	2^9	0.000100	41.092533
Send/Recv	2^10	0.000154	53.341660
Send/Recv	2^11	0.000233	70.199651
Send/Recv	2^12	0.000362	90.587399
Send/Recv	2^13	0.000757	86.610670
Send/Recv	2^14	0.001336	98.137425
Send/Recv	2^15	0.002526	103.786606
Send/Recv	2^16	0.004849	108.133148
Send/Recv	2^17	0.009487	110.529161
Send/Recv	2^18	0.018775	111.697848
Send/Recv	2^19	0.037396	112.159689
Send/Recv	2^20	0.074586	112.468880
Send/Recv	2^21	0.148972	112.619986
Send/Recv	2^22	0.297756	112.690944
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000094	0.085211
Send/Recv	2^1	0.000091	0.176172
Send/Recv	2^2	0.000095	0.336015
Send/Recv	2^3	0.000083	0.775050
Send/Recv	2^4	0.000096	1.336209
Send/Recv	2^5	0.000097	2.632982
Send/Recv	2^6	0.000097	5.290278
Send/Recv	2^7	0.000096	10.634266
Send/Recv	2^8	0.000098	20.861095
Send/Recv	2^9	0.000097	42.316246
Send/Recv	2^10	0.000153	53.657166
Send/Recv	2^11	0.000232	70.469110
Send/Recv	2^12	0.000360	90.917408
Send/Recv	2^13	0.000767	85.449937
Send/Recv	2^14	0.001338	97.997207
Send/Recv	2^15	0.002527	103.743560
Send/Recv	2^16	0.004848	108.139549
Send/Recv	2^17	0.009490	110.489941
Send/Recv	2^18	0.018777	111.687473
Send/Recv	2^19	0.037387	112.186116
Send/Recv	2^20	0.074580	112.478191
Send/Recv	2^21	0.148966	112.624783
Send/Recv	2^22	0.297767	112.686704
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
Kind (np=2)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000091	0.087826
Send/Recv	2^1	0.000091	0.175799
Send/Recv	2^2	0.000085	0.374667
Send/Recv	2^3	0.000095	0.672397
Send/Recv	2^4	0.000095	1.348528
Send/Recv	2^5	0.000099	2.595817
Send/Recv	2^6	0.000097	5.304122
Send/Recv	2^7	0.000096	10.621596
Send/Recv	2^8	0.000098	20.879814
Send/Recv	2^9	0.000100	41.070684
Send/Recv	2^10	0.000153	53.583642
Send/Recv	2^11	0.000233	70.449109
Send/Recv	2^12	0.000362	90.578886
Send/Recv	2^13	0.000757	86.569368
Send/Recv	2^14	0.001330	98.575761
Send/Recv	2^15	0.002526	103.765388
Send/Recv	2^16	0.004838	108.358120
Send/Recv	2^17	0.009487	110.527559
Send/Recv	2^18	0.018778	111.681142
Send/Recv	2^19	0.037410	112.116074
Send/Recv	2^20	0.074830	112.101753
Send/Recv	2^21	0.148997	112.601048
Send/Recv	2^22	0.297920	112.629146
Warning: Permanently added '[hpcvirtualizationnode14]:2222,[10.0.1.62]:2222' (ECDSA) to the list of known hosts.
