nohup: zignorowane dane wejściowe
NetBenchWithContention_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150413
Send/Recv	2^1	0.000053	0.300880
Send/Recv	2^2	0.000053	0.602084
Send/Recv	2^3	0.000053	1.204706
Send/Recv	2^4	0.000053	2.412124
Send/Recv	2^5	0.000061	4.221737
Send/Recv	2^6	0.000070	7.285211
Send/Recv	2^7	0.000079	12.945989
Send/Recv	2^8	0.000098	20.851469
Send/Recv	2^9	0.000137	29.958821
Send/Recv	2^10	0.000200	40.897121
Send/Recv	2^11	0.000317	51.730562
Send/Recv	2^12	0.000567	57.754352
Send/Recv	2^13	0.001540	42.552390
Send/Recv	2^14	0.002804	46.746526
Send/Recv	2^15	0.005199	50.425001
Send/Recv	2^16	0.009162	57.225833
Send/Recv	2^17	0.021226	49.401143
Send/Recv	2^18	0.042730	49.078664
Send/Recv	2^19	0.086221	48.646238
Send/Recv	2^20	0.171102	49.027080
Send/Recv	2^21	0.345428	48.569368
Send/Recv	2^22	0.691024	48.557515
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150439
Send/Recv	2^1	0.000053	0.301041
Send/Recv	2^2	0.000053	0.602265
Send/Recv	2^3	0.000053	1.205151
Send/Recv	2^4	0.000053	2.412533
Send/Recv	2^5	0.000053	4.804076
Send/Recv	2^6	0.000079	6.507179
Send/Recv	2^7	0.000081	12.695995
Send/Recv	2^8	0.000101	20.234155
Send/Recv	2^9	0.000137	29.806758
Send/Recv	2^10	0.000203	40.337690
Send/Recv	2^11	0.000318	51.577483
Send/Recv	2^12	0.000641	51.106252
Send/Recv	2^13	0.001577	41.566942
Send/Recv	2^14	0.002516	52.089282
Send/Recv	2^15	0.005153	50.872370
Send/Recv	2^16	0.009851	53.220006
Send/Recv	2^17	0.021405	48.988520
Send/Recv	2^18	0.043331	48.398190
Send/Recv	2^19	0.086537	48.468075
Send/Recv	2^20	0.172709	48.570791
Send/Recv	2^21	0.345443	48.567182
Send/Recv	2^22	0.690508	48.593832
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151034
Send/Recv	2^1	0.000053	0.302148
Send/Recv	2^2	0.000053	0.604740
Send/Recv	2^3	0.000053	1.210107
Send/Recv	2^4	0.000053	2.423850
Send/Recv	2^5	0.000054	4.778298
Send/Recv	2^6	0.000054	9.507633
Send/Recv	2^7	0.000075	13.643341
Send/Recv	2^8	0.000098	20.983571
Send/Recv	2^9	0.000105	39.186423
Send/Recv	2^10	0.000173	47.346307
Send/Recv	2^11	0.000270	60.617048
Send/Recv	2^12	0.000561	58.375280
Send/Recv	2^13	0.001458	44.943635
Send/Recv	2^14	0.002617	50.091434
Send/Recv	2^15	0.005587	46.920943
Send/Recv	2^16	0.010025	52.296148
Send/Recv	2^17	0.020459	51.252844
Send/Recv	2^18	0.041334	50.736275
Send/Recv	2^19	0.086106	48.710712
Send/Recv	2^20	0.170625	49.163970
Send/Recv	2^21	0.345511	48.557707
Send/Recv	2^22	0.690409	48.600803
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.150421
Send/Recv	2^1	0.000053	0.301352
Send/Recv	2^2	0.000053	0.602799
Send/Recv	2^3	0.000053	1.205800
Send/Recv	2^4	0.000061	2.091939
Send/Recv	2^5	0.000064	3.978468
Send/Recv	2^6	0.000079	6.512608
Send/Recv	2^7	0.000082	12.469470
Send/Recv	2^8	0.000099	20.719168
Send/Recv	2^9	0.000135	30.347709
Send/Recv	2^10	0.000156	52.548695
Send/Recv	2^11	0.000314	52.102927
Send/Recv	2^12	0.000673	48.721014
Send/Recv	2^13	0.001486	44.092140
Send/Recv	2^14	0.002679	48.921190
Send/Recv	2^15	0.005219	50.227634
Send/Recv	2^16	0.010948	47.888184
Send/Recv	2^17	0.021451	48.881380
Send/Recv	2^18	0.042685	49.130974
Send/Recv	2^19	0.085501	49.055801
Send/Recv	2^20	0.172345	48.673362
Send/Recv	2^21	0.344043	48.764922
Send/Recv	2^22	0.685375	48.957799
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151070
Send/Recv	2^1	0.000053	0.302347
Send/Recv	2^2	0.000053	0.604626
Send/Recv	2^3	0.000053	1.210220
Send/Recv	2^4	0.000053	2.423122
Send/Recv	2^5	0.000056	4.589193
Send/Recv	2^6	0.000066	7.717088
Send/Recv	2^7	0.000080	12.830128
Send/Recv	2^8	0.000097	21.009150
Send/Recv	2^9	0.000135	30.320078
Send/Recv	2^10	0.000174	47.060851
Send/Recv	2^11	0.000316	51.867962
Send/Recv	2^12	0.000649	50.513685
Send/Recv	2^13	0.001617	40.518099
Send/Recv	2^14	0.002649	49.485754
Send/Recv	2^15	0.005153	50.875895
Send/Recv	2^16	0.010049	52.175330
Send/Recv	2^17	0.021727	48.261574
Send/Recv	2^18	0.042434	49.421353
Send/Recv	2^19	0.084663	49.541349
Send/Recv	2^20	0.170678	49.148662
Send/Recv	2^21	0.344902	48.643405
Send/Recv	2^22	0.691656	48.513147
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151017
Send/Recv	2^1	0.000053	0.302047
Send/Recv	2^2	0.000053	0.604371
Send/Recv	2^3	0.000053	1.209298
Send/Recv	2^4	0.000053	2.422558
Send/Recv	2^5	0.000053	4.830549
Send/Recv	2^6	0.000052	9.823597
Send/Recv	2^7	0.000075	13.648329
Send/Recv	2^8	0.000097	21.007606
Send/Recv	2^9	0.000105	39.036850
Send/Recv	2^10	0.000173	47.329484
Send/Recv	2^11	0.000313	52.359685
Send/Recv	2^12	0.000563	58.217170
Send/Recv	2^13	0.001289	50.828200
Send/Recv	2^14	0.002841	46.135462
Send/Recv	2^15	0.005399	48.552949
Send/Recv	2^16	0.010808	48.508106
Send/Recv	2^17	0.021533	48.696752
Send/Recv	2^18	0.042234	49.655430
Send/Recv	2^19	0.086376	48.558816
Send/Recv	2^20	0.172870	48.525476
Send/Recv	2^21	0.344336	48.723366
Send/Recv	2^22	0.692035	48.486585
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151015
Send/Recv	2^1	0.000053	0.302063
Send/Recv	2^2	0.000053	0.604424
Send/Recv	2^3	0.000053	1.209950
Send/Recv	2^4	0.000053	2.422121
Send/Recv	2^5	0.000053	4.819453
Send/Recv	2^6	0.000054	9.507174
Send/Recv	2^7	0.000075	13.655323
Send/Recv	2^8	0.000087	23.479956
Send/Recv	2^9	0.000104	39.254396
Send/Recv	2^10	0.000173	47.232472
Send/Recv	2^11	0.000299	54.876006
Send/Recv	2^12	0.000439	74.652317
Send/Recv	2^13	0.001536	42.663736
Send/Recv	2^14	0.002715	48.282004
Send/Recv	2^15	0.005191	50.495908
Send/Recv	2^16	0.010458	50.134109
Send/Recv	2^17	0.021279	49.278182
Send/Recv	2^18	0.042503	49.341161
Send/Recv	2^19	0.085445	49.087565
Send/Recv	2^20	0.172974	48.496367
Send/Recv	2^21	0.345396	48.573871
Send/Recv	2^22	0.692928	48.424152
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151086
Send/Recv	2^1	0.000053	0.302320
Send/Recv	2^2	0.000053	0.604881
Send/Recv	2^3	0.000053	1.210578
Send/Recv	2^4	0.000056	2.303236
Send/Recv	2^5	0.000059	4.367281
Send/Recv	2^6	0.000065	7.929473
Send/Recv	2^7	0.000080	12.839757
Send/Recv	2^8	0.000097	21.025399
Send/Recv	2^9	0.000106	38.616554
Send/Recv	2^10	0.000199	41.190875
Send/Recv	2^11	0.000424	38.675898
Send/Recv	2^12	0.000690	47.523225
Send/Recv	2^13	0.001237	52.979212
Send/Recv	2^14	0.002912	45.017358
Send/Recv	2^15	0.005414	48.415347
Send/Recv	2^16	0.010244	51.181714
Send/Recv	2^17	0.019703	53.219801
Send/Recv	2^18	0.042124	49.785391
Send/Recv	2^19	0.086154	48.683773
Send/Recv	2^20	0.171075	49.034675
Send/Recv	2^21	0.345095	48.616258
Send/Recv	2^22	0.691105	48.551870
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000053	0.151090
Send/Recv	2^1	0.000053	0.302262
Send/Recv	2^2	0.000053	0.604798
Send/Recv	2^3	0.000053	1.210248
Send/Recv	2^4	0.000053	2.424396
Send/Recv	2^5	0.000053	4.822059
Send/Recv	2^6	0.000052	9.826746
Send/Recv	2^7	0.000075	13.655258
Send/Recv	2^8	0.000098	20.918130
Send/Recv	2^9	0.000105	39.136251
Send/Recv	2^10	0.000173	47.325382
Send/Recv	2^11	0.000253	64.881990
Send/Recv	2^12	0.000485	67.586646
Send/Recv	2^13	0.001556	42.112731
