nohup: zignorowane dane wejściowe
NetBenchWithContentionMpiSsend_O3_native_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000109	0.073501
Send/Recv	2^1	0.000078	0.204169
Send/Recv	2^2	0.000080	0.401414
Send/Recv	2^3	0.000080	0.803509
Send/Recv	2^4	0.000070	1.824983
Send/Recv	2^5	0.000095	2.708433
Send/Recv	2^6	0.000077	6.649906
Send/Recv	2^7	0.000092	11.107074
Send/Recv	2^8	0.000088	23.377883
Send/Recv	2^9	0.000128	31.876975
Send/Recv	2^10	0.000200	40.954471
Send/Recv	2^11	0.000398	41.134565
Send/Recv	2^12	0.000648	50.581249
Send/Recv	2^13	0.001260	52.012121
Send/Recv	2^14	0.002848	46.023983
Send/Recv	2^15	0.005364	48.873848
Send/Recv	2^16	0.010626	49.340889
Send/Recv	2^17	0.021752	48.206125
Send/Recv	2^18	0.043035	48.731033
Send/Recv	2^19	0.086420	48.533787
Send/Recv	2^20	0.172084	48.747228
Send/Recv	2^21	0.343638	48.822385
Send/Recv	2^22	0.688825	48.712583
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075591
Send/Recv	2^1	0.000076	0.210856
Send/Recv	2^2	0.000073	0.437446
Send/Recv	2^3	0.000068	0.945973
Send/Recv	2^4	0.000071	1.814509
Send/Recv	2^5	0.000066	3.879863
Send/Recv	2^6	0.000080	6.439239
Send/Recv	2^7	0.000083	12.398199
Send/Recv	2^8	0.000094	21.845023
Send/Recv	2^9	0.000106	38.588723
Send/Recv	2^10	0.000176	46.443990
Send/Recv	2^11	0.000364	44.996093
Send/Recv	2^12	0.000500	65.498208
Send/Recv	2^13	0.001359	48.239046
Send/Recv	2^14	0.002813	46.589596
Send/Recv	2^15	0.005068	51.725611
Send/Recv	2^16	0.010469	50.081581
Send/Recv	2^17	0.021265	49.310937
Send/Recv	2^18	0.042508	49.335043
Send/Recv	2^19	0.086201	48.657368
Send/Recv	2^20	0.171508	48.910893
Send/Recv	2^21	0.346928	48.359308
Send/Recv	2^22	0.693231	48.402972
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075284
Send/Recv	2^1	0.000078	0.204738
Send/Recv	2^2	0.000075	0.425173
Send/Recv	2^3	0.000072	0.889599
Send/Recv	2^4	0.000076	1.686020
Send/Recv	2^5	0.000073	3.526917
Send/Recv	2^6	0.000080	6.423266
Send/Recv	2^7	0.000095	10.738641
Send/Recv	2^8	0.000097	21.100423
Send/Recv	2^9	0.000111	36.891097
Send/Recv	2^10	0.000205	40.000684
Send/Recv	2^11	0.000362	45.321579
Send/Recv	2^12	0.000507	64.661135
Send/Recv	2^13	0.001526	42.947799
Send/Recv	2^14	0.002713	48.303694
Send/Recv	2^15	0.005346	49.034059
Send/Recv	2^16	0.010198	51.411185
Send/Recv	2^17	0.020099	52.169834
Send/Recv	2^18	0.042785	49.016574
Send/Recv	2^19	0.085680	48.953300
Send/Recv	2^20	0.172500	48.629498
Send/Recv	2^21	0.344792	48.658977
Send/Recv	2^22	0.688333	48.747357
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075600
Send/Recv	2^1	0.000077	0.206651
Send/Recv	2^2	0.000078	0.408867
Send/Recv	2^3	0.000078	0.817598
Send/Recv	2^4	0.000069	1.856236
Send/Recv	2^5	0.000057	4.459345
Send/Recv	2^6	0.000090	5.661717
Send/Recv	2^7	0.000093	11.019546
Send/Recv	2^8	0.000093	22.002775
Send/Recv	2^9	0.000131	31.228319
Send/Recv	2^10	0.000155	52.802558
Send/Recv	2^11	0.000349	46.978538
Send/Recv	2^12	0.000655	49.994889
Send/Recv	2^13	0.001515	43.244342
Send/Recv	2^14	0.002733	47.955159
Send/Recv	2^15	0.005362	48.887994
Send/Recv	2^16	0.010703	48.984602
Send/Recv	2^17	0.019825	52.890688
Send/Recv	2^18	0.042027	49.899822
Send/Recv	2^19	0.086155	48.683129
Send/Recv	2^20	0.171757	48.840010
Send/Recv	2^21	0.345581	48.547812
Send/Recv	2^22	0.693337	48.395529
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.074326
Send/Recv	2^1	0.000069	0.231557
Send/Recv	2^2	0.000067	0.480754
Send/Recv	2^3	0.000069	0.928337
Send/Recv	2^4	0.000075	1.713079
Send/Recv	2^5	0.000093	2.753087
Send/Recv	2^6	0.000080	6.426525
Send/Recv	2^7	0.000083	12.392476
Send/Recv	2^8	0.000094	21.864924
Send/Recv	2^9	0.000132	31.117290
Send/Recv	2^10	0.000206	39.697039
Send/Recv	2^11	0.000383	42.828109
Send/Recv	2^12	0.000634	51.688374
Send/Recv	2^13	0.001537	42.627869
Send/Recv	2^14	0.002664	49.204951
Send/Recv	2^15	0.005610	46.730660
Send/Recv	2^16	0.010900	48.097736
Send/Recv	2^17	0.021806	48.085692
Send/Recv	2^18	0.043241	48.499514
Send/Recv	2^19	0.086392	48.549908
Send/Recv	2^20	0.171270	48.978908
Send/Recv	2^21	0.346225	48.457536
Send/Recv	2^22	0.690726	48.578485
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000107	0.074717
Send/Recv	2^1	0.000081	0.196891
Send/Recv	2^2	0.000078	0.410124
Send/Recv	2^3	0.000075	0.850865
Send/Recv	2^4	0.000082	1.565580
Send/Recv	2^5	0.000092	2.793667
Send/Recv	2^6	0.000080	6.384273
Send/Recv	2^7	0.000079	12.976316
Send/Recv	2^8	0.000093	22.071106
Send/Recv	2^9	0.000131	31.305890
Send/Recv	2^10	0.000201	40.735041
Send/Recv	2^11	0.000251	65.211767
Send/Recv	2^12	0.000517	63.348574
Send/Recv	2^13	0.001584	41.363331
Send/Recv	2^14	0.002912	45.014050
Send/Recv	2^15	0.005062	51.786533
Send/Recv	2^16	0.010909	48.058244
Send/Recv	2^17	0.019713	53.191969
Send/Recv	2^18	0.042757	49.047803
Send/Recv	2^19	0.085746	48.915225
Send/Recv	2^20	0.170752	49.127338
Send/Recv	2^21	0.344548	48.693387
Send/Recv	2^22	0.690029	48.627548
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075612
Send/Recv	2^1	0.000075	0.213792
Send/Recv	2^2	0.000069	0.465679
Send/Recv	2^3	0.000072	0.893193
Send/Recv	2^4	0.000053	2.427368
Send/Recv	2^5	0.000077	3.339658
Send/Recv	2^6	0.000063	8.149025
Send/Recv	2^7	0.000082	12.431678
Send/Recv	2^8	0.000093	22.029559
Send/Recv	2^9	0.000106	38.693892
Send/Recv	2^10	0.000155	52.700651
Send/Recv	2^11	0.000347	47.227911
Send/Recv	2^12	0.000647	50.667790
Send/Recv	2^13	0.001386	47.288690
Send/Recv	2^14	0.002716	48.266233
Send/Recv	2^15	0.005276	49.688424
Send/Recv	2^16	0.009657	54.292133
Send/Recv	2^17	0.020873	50.236239
Send/Recv	2^18	0.041574	50.444249
Send/Recv	2^19	0.084635	49.557813
Send/Recv	2^20	0.172410	48.655133
Send/Recv	2^21	0.344714	48.670028
Send/Recv	2^22	0.690618	48.586107
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000109	0.073369
Send/Recv	2^1	0.000079	0.202957
Send/Recv	2^2	0.000079	0.402614
Send/Recv	2^3	0.000074	0.859348
Send/Recv	2^4	0.000073	1.763464
Send/Recv	2^5	0.000075	3.417432
Send/Recv	2^6	0.000066	7.808906
Send/Recv	2^7	0.000079	12.989802
Send/Recv	2^8	0.000093	22.043588
Send/Recv	2^9	0.000106	38.664307
Send/Recv	2^10	0.000155	52.861674
Send/Recv	2^11	0.000321	51.061257
Send/Recv	2^12	0.000500	65.504230
Send/Recv	2^13	0.001471	44.560912
Send/Recv	2^14	0.002778	47.185882
Send/Recv	2^15	0.004999	52.438055
Send/Recv	2^16	0.010165	51.578739
Send/Recv	2^17	0.019775	53.024899
Send/Recv	2^18	0.041683	50.311348
Send/Recv	2^19	0.084885	49.411613
Send/Recv	2^20	0.171311	48.967096
Send/Recv	2^21	0.343584	48.829975
Send/Recv	2^22	0.690315	48.607390
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075597
Send/Recv	2^1	0.000079	0.202194
Send/Recv	2^2	0.000079	0.402993
Send/Recv	2^3	0.000060	1.065560
Send/Recv	2^4	0.000067	1.909067
Send/Recv	2^5	0.000052	4.915939
Send/Recv	2^6	0.000079	6.456017
Send/Recv	2^7	0.000082	12.427346
Send/Recv	2^8	0.000093	21.965882
Send/Recv	2^9	0.000116	35.378051
Send/Recv	2^10	0.000201	40.772650
Send/Recv	2^11	0.000350	46.812365
Send/Recv	2^12	0.000655	50.041194
Send/Recv	2^13	0.001386	47.274414
Send/Recv	2^14	0.002790	46.972679
Send/Recv	2^15	0.005004	52.382944
Send/Recv	2^16	0.010618	49.375833
Send/Recv	2^17	0.020084	52.208311
Send/Recv	2^18	0.042845	48.947436
Send/Recv	2^19	0.084742	49.495140
Send/Recv	2^20	0.172856	48.529573
Send/Recv	2^21	0.346442	48.427134
Send/Recv	2^22	0.692714	48.439099
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000112	0.071712
Send/Recv	2^1	0.000078	0.205453
Send/Recv	2^2	0.000079	0.404555
Send/Recv	2^3	0.000080	0.799736
Send/Recv	2^4	0.000072	1.766898
Send/Recv	2^5	0.000078	3.284755
Send/Recv	2^6	0.000092	5.559817
Send/Recv	2^7	0.000082	12.448897
Send/Recv	2^8	0.000088	23.378195
Send/Recv	2^9	0.000130	31.433099
Send/Recv	2^10	0.000199	41.076555
Send/Recv	2^11	0.000257	63.839653
Send/Recv	2^12	0.000643	50.969998
Send/Recv	2^13	0.001562	41.954022
Send/Recv	2^14	0.002795	46.896235
Send/Recv	2^15	0.005385	48.681543
Send/Recv	2^16	0.010283	50.985113
Send/Recv	2^17	0.020552	51.021341
Send/Recv	2^18	0.043444	48.272390
Send/Recv	2^19	0.086153	48.684408
Send/Recv	2^20	0.171236	48.988510
Send/Recv	2^21	0.343647	48.821055
Send/Recv	2^22	0.689568	48.660051
NetBenchWithContentionMpiSsend_O3_4b
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075579
Send/Recv	2^1	0.000075	0.213811
Send/Recv	2^2	0.000077	0.417554
Send/Recv	2^3	0.000055	1.171647
Send/Recv	2^4	0.000081	1.577255
Send/Recv	2^5	0.000053	4.855111
Send/Recv	2^6	0.000075	6.803935
Send/Recv	2^7	0.000079	12.979006
Send/Recv	2^8	0.000093	21.921836
Send/Recv	2^9	0.000106	38.643150
Send/Recv	2^10	0.000155	52.894953
Send/Recv	2^11	0.000339	48.316915
Send/Recv	2^12	0.000654	50.120146
Send/Recv	2^13	0.001413	46.396199
Send/Recv	2^14	0.002712	48.321867
Send/Recv	2^15	0.005415	48.413684
Send/Recv	2^16	0.010106	51.880370
Send/Recv	2^17	0.021277	49.282981
Send/Recv	2^18	0.042731	49.078134
Send/Recv	2^19	0.085879	48.839526
Send/Recv	2^20	0.171270	48.978786
Send/Recv	2^21	0.343669	48.817963
Send/Recv	2^22	0.691507	48.523619
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075607
Send/Recv	2^1	0.000078	0.205882
Send/Recv	2^2	0.000079	0.407122
Send/Recv	2^3	0.000068	0.936199
Send/Recv	2^4	0.000086	1.489450
Send/Recv	2^5	0.000058	4.391919
Send/Recv	2^6	0.000063	8.152031
Send/Recv	2^7	0.000082	12.426193
Send/Recv	2^8	0.000093	21.932126
Send/Recv	2^9	0.000106	38.641692
Send/Recv	2^10	0.000155	52.868497
Send/Recv	2^11	0.000348	47.109768
Send/Recv	2^12	0.000647	50.663912
Send/Recv	2^13	0.001379	47.529842
Send/Recv	2^14	0.002784	47.078202
Send/Recv	2^15	0.005172	50.680809
Send/Recv	2^16	0.010808	48.508602
Send/Recv	2^17	0.019543	53.654252
Send/Recv	2^18	0.042535	49.303617
Send/Recv	2^19	0.085841	48.861443
Send/Recv	2^20	0.173193	48.435147
Send/Recv	2^21	0.345049	48.622771
Send/Recv	2^22	0.691452	48.527492
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000111	0.071949
Send/Recv	2^1	0.000077	0.209001
Send/Recv	2^2	0.000076	0.423372
Send/Recv	2^3	0.000075	0.854522
Send/Recv	2^4	0.000074	1.733441
Send/Recv	2^5	0.000063	4.060600
Send/Recv	2^6	0.000077	6.668690
Send/Recv	2^7	0.000092	11.094464
Send/Recv	2^8	0.000088	23.400499
Send/Recv	2^9	0.000108	37.919255
Send/Recv	2^10	0.000200	40.973111
Send/Recv	2^11	0.000342	47.938812
Send/Recv	2^12	0.000548	59.807298
Send/Recv	2^13	0.001312	49.953218
Send/Recv	2^14	0.002927	44.777170
Send/Recv	2^15	0.005172	50.687365
Send/Recv	2^16	0.010682	49.083571
Send/Recv	2^17	0.020421	51.347959
Send/Recv	2^18	0.042834	48.960207
Send/Recv	2^19	0.086627	48.417817
Send/Recv	2^20	0.172833	48.535945
Send/Recv	2^21	0.341456	49.134318
Send/Recv	2^22	0.689936	48.634089
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000108	0.073802
Send/Recv	2^1	0.000068	0.237030
Send/Recv	2^2	0.000080	0.400296
Send/Recv	2^3	0.000078	0.818801
Send/Recv	2^4	0.000080	1.601461
Send/Recv	2^5	0.000085	3.017146
Send/Recv	2^6	0.000074	6.943829
Send/Recv	2^7	0.000091	11.208739
Send/Recv	2^8	0.000094	21.709250
Send/Recv	2^9	0.000132	31.146986
Send/Recv	2^10	0.000204	40.244256
Send/Recv	2^11	0.000405	40.440491
Send/Recv	2^12	0.000500	65.535214
Send/Recv	2^13	0.001599	40.981451
Send/Recv	2^14	0.002736	47.909217
Send/Recv	2^15	0.005488	47.763065
Send/Recv	2^16	0.009721	53.933596
Send/Recv	2^17	0.021268	49.303841
Send/Recv	2^18	0.043119	48.636171
Send/Recv	2^19	0.085733	48.922790
Send/Recv	2^20	0.170888	49.088451
Send/Recv	2^21	0.345986	48.491071
Send/Recv	2^22	0.692443	48.458076
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075658
Send/Recv	2^1	0.000077	0.207453
Send/Recv	2^2	0.000073	0.439525
Send/Recv	2^3	0.000069	0.932092
Send/Recv	2^4	0.000060	2.135252
Send/Recv	2^5	0.000052	4.917676
Send/Recv	2^6	0.000092	5.537168
Send/Recv	2^7	0.000079	12.961463
Send/Recv	2^8	0.000093	21.941838
Send/Recv	2^9	0.000106	38.801290
Send/Recv	2^10	0.000183	44.798933
Send/Recv	2^11	0.000348	47.113629
Send/Recv	2^12	0.000635	51.630510
Send/Recv	2^13	0.001264	51.839017
Send/Recv	2^14	0.002676	48.977237
Send/Recv	2^15	0.005424	48.330326
Send/Recv	2^16	0.010527	49.804265
Send/Recv	2^17	0.020048	52.303980
Send/Recv	2^18	0.041486	50.550479
Send/Recv	2^19	0.086049	48.743466
Send/Recv	2^20	0.170603	49.170443
Send/Recv	2^21	0.344956	48.635828
Send/Recv	2^22	0.689444	48.668831
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000107	0.074657
Send/Recv	2^1	0.000065	0.244482
Send/Recv	2^2	0.000066	0.482767
Send/Recv	2^3	0.000066	0.963949
Send/Recv	2^4	0.000071	1.802300
Send/Recv	2^5	0.000094	2.718283
Send/Recv	2^6	0.000092	5.547622
Send/Recv	2^7	0.000094	10.934655
Send/Recv	2^8	0.000094	21.702579
Send/Recv	2^9	0.000131	31.161441
Send/Recv	2^10	0.000198	41.288866
Send/Recv	2^11	0.000406	40.401201
Send/Recv	2^12	0.000497	65.908780
Send/Recv	2^13	0.001460	44.896635
Send/Recv	2^14	0.002807	46.700548
Send/Recv	2^15	0.005325	49.227501
Send/Recv	2^16	0.011051	47.444018
Send/Recv	2^17	0.021454	48.876624
Send/Recv	2^18	0.043453	48.262394
Send/Recv	2^19	0.086680	48.388208
Send/Recv	2^20	0.172730	48.564870
Send/Recv	2^21	0.345429	48.569250
Send/Recv	2^22	0.689470	48.667011
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075271
Send/Recv	2^1	0.000078	0.204562
Send/Recv	2^2	0.000081	0.397514
Send/Recv	2^3	0.000075	0.852427
Send/Recv	2^4	0.000072	1.768401
Send/Recv	2^5	0.000075	3.399776
Send/Recv	2^6	0.000065	7.916024
Send/Recv	2^7	0.000079	12.979300
Send/Recv	2^8	0.000087	23.412448
Send/Recv	2^9	0.000110	37.241273
Send/Recv	2^10	0.000200	40.905902
Send/Recv	2^11	0.000250	65.464905
Send/Recv	2^12	0.000529	61.908824
Send/Recv	2^13	0.001385	47.335466
Send/Recv	2^14	0.002902	45.161431
Send/Recv	2^15	0.004872	53.810724
Send/Recv	2^16	0.010966	47.810883
Send/Recv	2^17	0.020771	50.481914
Send/Recv	2^18	0.042746	49.060483
Send/Recv	2^19	0.084489	49.643484
Send/Recv	2^20	0.172593	48.603365
Send/Recv	2^21	0.343358	48.862237
Send/Recv	2^22	0.690012	48.628735
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075608
Send/Recv	2^1	0.000077	0.206922
Send/Recv	2^2	0.000076	0.421588
Send/Recv	2^3	0.000053	1.213525
Send/Recv	2^4	0.000075	1.705603
Send/Recv	2^5	0.000052	4.929381
Send/Recv	2^6	0.000080	6.369820
Send/Recv	2^7	0.000079	13.012676
Send/Recv	2^8	0.000092	22.215473
Send/Recv	2^9	0.000131	31.302301
Send/Recv	2^10	0.000155	52.696922
Send/Recv	2^11	0.000250	65.632611
Send/Recv	2^12	0.000499	65.613227
Send/Recv	2^13	0.001370	47.838976
Send/Recv	2^14	0.002781	47.136239
Send/Recv	2^15	0.005376	48.761365
Send/Recv	2^16	0.009524	55.050226
Send/Recv	2^17	0.019820	52.904301
Send/Recv	2^18	0.041307	50.769869
Send/Recv	2^19	0.084444	49.669936
Send/Recv	2^20	0.172049	48.757167
Send/Recv	2^21	0.344720	48.669110
Send/Recv	2^22	0.690367	48.603773
No protocol specified
No protocol specified
Kind (np=4)	n	time (sec)	Rate (MB/sec)
Send/Recv	2^0	0.000106	0.075204
Send/Recv	2^1	0.000060	0.267234
Send/Recv	2^2	0.000063	0.506396
Send/Recv	2^3	0.000068	0.942783
